id,slug,title,short,content,prev,next,trans
39,75-the-malicious-defaulter-of-alimony,The malicious defaulter of alimony,"<p>The client applied to the detective agency «Pravo» in order to establish the earnings of her husband, who refused to pay child support, providing the bailiffs with a certificate of a meager salary.</p>","<p>The client applied to the detective agency «Pravo» in order to establish the earnings of her husband, who refused to pay child support, providing the bailiffs with a certificate of a meager salary.</p>
<p>Private detectives «Pravo» engaged in checking the information provided by her husband about the official place of work and the specified salary. When monitoring the ex-husband, it turned out that he does not go to the place of work indicated in the certificate, but unofficially works in one of the private companies and holds the position of middle management.</p>
<p>The detectives of the agency «Pravo» decided to employ one of the detectives in this company in order to get closer to the object and fix that he really works in this company and receives a salary. As it turned out, the ex-husband provided the bailiffs with fictitious documents, was not officially employed in a private company, and received his salary in an envelope. The collected evidence was provided to the client, who successfully presented it to the court. The court ordered the ex-husband to pay all child support.</p>
<p>By contacting us at a detective agency, we guarantee to take on any difficult case.</p>",76-multimillion-dollar-contract-under-threat,74-missing-daughter,
38,74-missing-daughter,Missing daughter,"<p>The agency ""Pravo"" was contacted by a mother about a missing daughter who left home a few months ago and there was no news from her. As it should be in such cases, she applied to the police about the search. Where she was advised to wait for some time, since her daughter is an adult and may have gone on a spree. But a lot of time has passed since leaving and the mother became worried.</p>","<p>The agency ""Pravo"" was contacted by a mother about a missing daughter who left home a few months ago and there was no news from her. As it should be in such cases, she applied to the police about the search. Where she was advised to wait for some time, since her daughter is an adult and may have gone on a spree. But a lot of time has passed since leaving and the mother became worried.</p>
<p>Our detectives established the daughter's social circle, places of visits, studied her leisure time, numerous trips were made to talk with acquaintances and friends, in order to restore the picture of the last days before leaving home.</p>
<p>One of the girlfriends let slip that she and some unknown girl wanted to go to another city to work. But whether this information was reliable, and to which city they could have left is not known.</p>
<p>The Right detectives took up working out this version, during which the girlfriend and the city where they left were really established. Detectives went to this city, where they continued their search.</p>
<p>Unfortunately, the established news did not please my mother, the girl was engaged in the provision of intimate services.</p>
<p>All the collected materials were handed over to the mother, who went and picked up her daughter.</p>
<p>Regardless of the coming of age, parents should not forget that children still require attention and control. Therefore, as soon as you suspect a change in the behavior of the child, and he will always remain a child for you, despite the fact that he is an adult, immediately contact the detectives ""Pravo"". And we will solve together with you the family difficulties that have arisen.</p>",75-the-malicious-defaulter-of-alimony,73-adultery,
37,73-adultery,Adultery,"<p>Our detective agency ""Pravo"" was contacted by a spouse who began to suspect that her husband, who often goes on business trips to another city, was cheating, but she had no evidence.</p>","<p>Our detective agency ""Pravo"" was contacted by a spouse who began to suspect that her husband, who often goes on business trips to another city, was cheating, but she had no evidence.</p>
<p>The detectives of the Pravo agency have drawn up a plan to monitor her husband. Once again, when the spouse left for another business trip, our detectives began to accompany him unnoticed. Upon arrival in another city, the spouse went and met on business of his company. No suspicious contacts have been identified for our detectives. In the hotel where he stayed, he booked a single room, during a conversation with the administrator on the subject of who this citizen happens to, we did not receive any compromising information.</p>
<p>For the first three days everything went as normal. There were no suspicious actions. As usual, according to the schedule, after work in the evening, he left the hotel, caught a taxi and drove to the other end of the city, drove to a cafe where a young girl was waiting for him. After the cafe, they went to her house, where they stayed all night. Then he returned back to the hotel and continued the business of his company. A few days later he went home.</p>
<p>To make sure that this was not a one-time contact, another operation was carried out on the next business trip. During which the meeting with the girl was repeated.</p>
<p>The collected evidence and the dossier on the mistress were provided to the customer.</p>
<p>No need to think that you are alone in this world. By contacting us at the detective agency ""Pravo"", you will receive psychological support and answers to your questions. Being alone with your problem, it seems that you are alone, but you are not.</p>",74-missing-daughter,72-teen-in-danger-in-bad-company,
36,72-teen-in-danger-in-bad-company,Teen in danger in bad company,"<p>The teenager's mother, who turned to the detective agency ""Pravo"" in time, saved her son from the influence of bad company and from committing a crime by him.</p>","<p>The teenager's mother, who turned to the detective agency ""Pravo"" in time, saved her son from the influence of bad company and from committing a crime by him.</p>
<p>This story began without foreshadowing any trouble in the near future, the teenager abruptly began to behave impudently, unprincipled, did not notice his parents, snapped at the neighbors, missed lessons, came late, then with the smell of tobacco, and sometimes alcohol. The parents tried to talk to the teenage child themselves, to find out the reasons for this behavior. However , in response , they heard: ""Don't get into my life!"", and sometimes obscene language.  With such rude behavior, our detectives often meet and have professional experience in solving teenage problems.</p>
<p>The detectives of the agency ""Pravo"" studied the presented psychological characteristics of parents about the teenager, drew up an action plan to establish the circle of communication of the teenager, the places visited. During the observation, it was established that the teenager got into bad company. Under the influence of older comrades, he smoked, consumed weak alcoholic beverages, while he was constantly provoked to commit robbery.</p>
<p>The participants of the bad campaign were all identified, the relevant materials were transferred to law enforcement agencies. Our hero was removed from the influence of this campaign and returned to normal life and studies.</p>
<p>The assumption of such a situation is the last stage from which it will be impossible to withdraw a teenager. Therefore, contact the detective agency ""Pravo"" in a timely manner, since such changes do not occur simultaneously.</p>",73-adultery,71-the-scammer-the-razluchnitsa,
35,71-the-scammer-the-razluchnitsa,The scammer-the razluchnitsa,"<p>With her family pain, a woman in her late fifties turned to our detective agency Pravo, who said that her husband had been dating another woman for a long time. He carefully hides his calls and carries out them from other people's SIM cards. He also became closed and began spending large amounts of money from the family budget. She turned to various kinds of psychics and sorcerers, but realizing that their actions did not lead to results, she decided to contact our agency.</p>","<p>With her family pain, a woman in her late fifties turned to our detective agency Pravo, who said that her husband had been dating another woman for a long time. He carefully hides his calls and carries out them from other people's SIM cards. He also became closed and began spending large amounts of money from the family budget. She turned to various kinds of psychics and sorcerers, but realizing that their actions did not lead to results, she decided to contact our agency.</p>
  <hr id=""system-readmore"" />
<p>After analyzing this situation and the information provided, and apart from the customer's suspicions, there were no names or dates of meetings, no clue, since he could leave at any time without warning to come, and sometimes disappeared for several days. Our detectives have developed an action plan to collect and establish information about the mistress, as well as the overlap of their possible meeting places.</p>
<p>After the successful event, we established the full data of the mistress, as well as that she is a professional con artist and fraudster and is wanted for several similar crimes. As it turned out, she entered into the confidence of her husband, under the guise of a victim ""beautiful, poor, lonely, without parents, without love,"" provoking increased costs, which was one of the main conditions. When the money ran out, the relationship had to end. To save them, my husband went to the bank to apply for a loan.</p>
<p>The woman who applied in time prevented her husband from making a large loan for her mistress, also contributed to the exposure of the swindler, moreover, she was convinced that she had wasted time and money on contacting psychics.</p>",72-teen-in-danger-in-bad-company,69-investigation-of-the-disappearance-of-revenue,
33,69-investigation-of-the-disappearance-of-revenue,Investigation of the disappearance of revenue,"<p>There are not isolated cases of theft committed at work. With one of these cases, employees themselves, sellers of a private grocery store, turned to us at the detective agency ""Pravo"".</p>","<p>There are not isolated cases of theft committed at work. With one of these cases, employees themselves, sellers of a private grocery store, turned to us at the detective agency ""Pravo"".</p>
<p>So repeatedly withdrawing the proceeds after work, the shift supervisor put the money in the store's safe. The daily proceeds were small (from 10,000 to 20,000 rubles), but the total amount was surrendered at the end of the week, where, when handing over money, it was strangely revealed that part of the proceeds disappeared. Although only the store director and the shift supervisor had access to the safe. The director himself did not want to understand this situation, and at the general meeting the sellers decided to contact the detective agency ""Pravo"" in order to identify the criminal.</p>
Private detectives ""Pravo"", analyzing the situation, circumstances, personal resumes of each employee of the store, concluded that the psychological portrait of the criminal did not coincide with the sellers of the store, it was someone else.</p>
<p>During a thorough investigation for two weeks, a cleaner who was not officially employed in the store, with an impeccable past, therefore remained without suspicion for a long time, came to the attention of the detectives of the Pravo agency.</p>
<p>We found that this citizen cohabits for a year with a previously convicted person for theft. During the surveillance, it was established that the cleaner made a cast of the keys and handed it to her accomplice, who made a duplicate key to the safe. In order not to attract attention once a week, cleaning the office, after a working day, part of the proceeds was stolen.</p>
<p>Thus, the sellers of the store secured themselves by hiring private detectives who were able to identify the participants in the crime and bring them to criminal responsibility.</p>
<p>This case once again confirms that detectives can be contacted not only on a personal, but also on an official matter.</p>",71-the-scammer-the-razluchnitsa,70-checking-for-the-fact-of-treason-or-its-absence,
32,70-checking-for-the-fact-of-treason-or-its-absence,Checking for the fact of treason or its absence,"<p>Our detective agency ""Pravo"" is approached proportionally by both women and men with a delicate question in suspicion of infidelity of the second half. Often, such trifles as: I came home late, later than usual, more careful self-care, buying new things, the appearance of frequent meetings with friends, ""password-locking"" phones, and many other things.</p>","<p>Our detective agency ""Pravo"" is approached proportionally by both women and men with a delicate question in suspicion of infidelity of the second half. Often, such trifles as: I came home late, later than usual, more careful self-care, buying new things, the appearance of frequent meetings with friends, ""password-locking"" phones, and many other things.</p>
<p>Faced with such circumstances without direct evidence, the spouses begin to suspect the other half of treason, ""eating"" themselves from the inside, which leads to frequent scandals and altercations. In such a situation, they cannot tell and share with their friends and family, since the situation is delicate, the most sacred thing is at stake - the family.</p>
<p>One of these appeals was the appeal of a woman who said that her husband started returning late, and she suspects him. Asked to establish the fact of treason.</p>
<p>Our detectives immediately began a private investigation, during which the following was established: it turned out that the husband was working as a ""private cab driver"" in a taxi due to lack of funds.</p>
<p>Thanks to us, the family remained whole. We not only establish the fact of treason, but we can also confirm its absence. Therefore, you do not need to delay and keep your suspicions, ""winding up"" yourself, it is better to make sure whether there is really a fact of treason.</p>",69-investigation-of-the-disappearance-of-revenue,68-search-for-relatives-in-the-cis,
31,68-search-for-relatives-in-the-cis,Search for relatives in the CIS,"<p>Our detective agency ""Pravo"" was contacted by a family from one city in Russia with a request to find relatives living in Ukraine and find out if they are alive and well, since there has been no feedback for 5 years.</p>","<p>Our detective agency ""Pravo"" was contacted by a family from one city in Russia with a request to find relatives living in Ukraine and find out if they are alive and well, since there has been no feedback for 5 years.</p>
<p>According to the initial data, the relatives lived in one of the cities of Ukraine, where they worked. Our detectives managed to establish that these relatives moved to another city to live, where they bought an apartment and got a new job.</p>
<p>We made sure that they are alive, healthy and they are doing well. They were very glad that relatives from Russia were interested in them. Then the coordinates were transferred to each other. The detective agency ""Pravo"" received gratitude and great appreciation for the search for distant relatives.</p>
<p>We are often approached not only from near and far abroad, in order to restore lost family ties at one time or another for various reasons. The detective agency ""Pravo"" will always respond, will help to find and establish contact with your relatives in a short time, regardless of the location, both yours and your relatives. Our detective agency ""Pravo"" is professionally engaged in the search for lost family ties.</p>",70-checking-for-the-fact-of-treason-or-its-absence,67-finding-a-stepbrother-30-years-later,
30,67-finding-a-stepbrother-30-years-later,Finding a Stepbrother 30 Years Later,"<p>A man turned to our agency ""Pravo"" with a request for help in finding his half-brother, who lived in Ukraine, according to his information until 1985.After that, the connection was lost. The whereabouts were unknown.</p>","<p>A man turned to our agency ""Pravo"" with a request for help in finding his half-brother, who lived in Ukraine, according to his information until 1985.After that, the connection was lost. The whereabouts were unknown.</p>
<p>Private detectives ""Pravo"", despite the statute of limitations, began to search and establish information on the half-brother. During the private investigation, many visits were carried out and a large amount of documentation was studied. As always, taking into account the statute of limitations, all information for more than 10 years is not archived, but simply destroyed. In those days, electronic media did not exist, which brings certain difficulties in searching.</p>
<p>We have established a half-brother who lives with his family, and he is already raising grandchildren, at the age of 71. When he found out that his stepbrother was looking for him, he was incredibly glad. Considering his age, he asked to speed up their meeting. They made an appointment on the phone. And we have received great gratitude from both sides, which is the highest assessment of our work for us.</p>",68-search-for-relatives-in-the-cis,66-the-search-for-a-biological-mother-by-a-daughter-40-years-later,
29,66-the-search-for-a-biological-mother-by-a-daughter-40-years-later,The search for a biological mother by a daughter 40 years later,"<p>Our detective agency ""Pravo"" from one of the regions of Russia was approached by a man with an unusual question, namely, it was necessary to establish the biological mother of his wife, without initial data, forty years ago. For 40 years, she did not know and did not guess that she was adopted from another city and the mother who raised her is not her native. She heard about this in a conversation between the adopted mother and her friend, before her mother's death.</p>","<p>Our detective agency ""Pravo"" from one of the regions of Russia was approached by a man with an unusual question, namely, it was necessary to establish the biological mother of his wife, without initial data, forty years ago. For 40 years, she did not know and did not guess that she was adopted from another city and the mother who raised her is not her native. She heard about this in a conversation between the adopted mother and her friend, before her mother's death.</p>
<p>Even with new technologies and technical capabilities in our time, it turned out that the information of such prescription is stored for no more than 10 years and is automatically destroyed.</p>
<p>This situation, like all others, becomes a help when citizens turn to us, and we take it regardless of the possible results, because both negatively and positively, in the end we still get an answer.</p>
<p>The initial data we established was small. The name was known, the possible age, in which city she was born, the area of possible residence. During the investigation, we established not only the full data of the biological mother, but also neighbors, eyewitnesses who observed her in childhood up to 5-6 years of age.</p>
<p>However, at the time of establishing the biological mother, she, unfortunately, was not alive. By a tragic coincidence, I got into an accident. She was hit to death by a truck. It is very difficult to bring such information to relatives, therefore, in order to more delicately inform his wife about what happened, a conversation was held on the topic of the mother's advanced age, and that the probability that she may be alive is small. One of the excellent moments was that a stepbrother was installed, who lived with his family in another city. And we joined two dear souls who were very happy to reunite after 40 years.</p>",67-finding-a-stepbrother-30-years-later,65-why-contact-a-private-detective-agency,
27,65-why-contact-a-private-detective-agency,Why contact a private detective agency,"<p>Are you wondering whether you need to contact a private detective agency </strong> for your question? Doubts arise because of a misunderstanding of the work of detectives, because of the myths that gave rise to action-packed films and books. Read this article – it will help you solve the dilemma.</p>","<p>Are you wondering whether you need to contact a private detective agency </strong> for your question? Doubts arise because of a misunderstanding of the work of detectives, because of the myths that gave rise to action-packed films and books. Read this article – it will help you solve the dilemma.</p>
<h2 class=""subheader"">Why do doubts arise?</h2>
<p>The work of a private detective is presented as an adventurous risky activity that borders on breaking the law. The detective's payment seems unaffordable and overpriced. The situations that specialists undertake are exclusively surveillance of unfaithful spouses or fraudsters, investigation of murders.</p>
<p>This image has developed in the minds of people thanks to detective series and popular literature, in which the image of the detective is embellished, and the sharpness of his work is exaggerated.</p>
<p>Yes, <strong>an agency, a private detective</strong> deal with risk, must have the appropriate permits and character qualities to do their job. But let's look at the profession of a detective realistically.</p>
A private detective is a specialist who clarifies situations that a person cannot solve on his own or he lacks assistance from law enforcement agencies. It is the qualified knowledge of the detective in the field of conducting investigative activities, law, psychology that helps to speed up the resolution of issues.</p>
</div>
<h2 class=""subheader"">What does an agency, a private detective do?</h2>
<p>The field of activity of the detective is huge. It is divided into categories that involve different types of services:</p>
<ul>
<li>Search for people (relatives, old friends, colleagues; deceased; debtors, fraudsters).</li>
<li>Search for movable and immovable property (presence of hidden bank accounts, business abroad, cars and houses).</li>
<li>Search for stolen or missing items (cars, jewelry, etc.).</li>
<li>Collecting and verifying information (determining the owner of the phone, checking the company for fraud, establishing marital status or how nannies treat children in the absence of parents, etc.).</li>
<li>Investigation of criminal and administrative crimes (murder, theft, abuse of official position, etc.).</li>
<li>Representation in negotiations (participation in business conversations, ensuring the safety of the customer).</li>
</ul>
<p align=""justify"">You can contact the <strong>agency to a private detective </strong> with instructions to find out the place of residence of the person of interest, establish his identity, order an independent investigation on charges of a crime, identify corporate espionage. The agency can collect reliable information, verify the authenticity of the available data.</p>
<h2 class=""subheader"">Don't be afraid to entrust your problem to professionals</h2>
<p>Sometimes it is outsiders with professional knowledge who are best able to understand the current state of affairs. You can contact your friends or apply to the ""authorities"" and expect the results. There is another option – to attract an experienced specialist, an independent expert to your side.</p>
<p>In some cases, cooperation with a detective is the best option. For example, when you suspect a missing person and do not want to wait 3 days, as prescribed by law for law enforcement agencies. When you doubt the objectivity or competence of the specialists of the Ministry of Internal Affairs. When you need to get information quickly and confidentially.</p>
<p>In any case, <strong>an agency and a private detective</strong> are a real help in modern society, when ""trust, but check"" is an actual folk wisdom.</p>
<h2 class=""subheader"">Contact the detective agency ""Pravo""!<br />We help protect your rights</h2>
<p>Copying the text without specifying a link to the author's article is PROHIBITED!</p>",66-the-search-for-a-biological-mother-by-a-daughter-40-years-later,64-private-search-for-people-missing-relatives-old-friends-acquaintances,
23,64-private-search-for-people-missing-relatives-old-friends-acquaintances,"Private search for people: missing relatives, old friends, acquaintances","<p>The detective agency ""Pravo"" carries out a <strong> private search for people</strong> at a professional level. We proceed to search activities immediately, because every minute is important. The experience of a <strong>private detective in finding a person</strong> plays a key role, so you can count on...</p>","<p>The detective agency ""Pravo"" carries out a <strong> private search for people</strong> at a professional level. We proceed to search activities immediately, because every minute is important. The experience of a <strong>private detective in finding a person</strong> plays a key role, so you can count on for highly qualified assistance.</p>
<h2 class=""subheader"">Why do people disappear</h2>
<p>The search for a missing relative, friend, classmate, colleague, fellow traveler are common requests in the practice of detectives. The reasons for the loss of communication are very different:</p>
<ul>
  <li>
    Unwillingness to communicate due to conflict;
  </li>
  <li>
    Did not consider it necessary to warn about the new address of residence;
  </li>
  <li>
    Loss of communication due to lack of communication for a long time;
  </li>
  <li>        
    A disease that provokes blackouts in memory;
  </li>
  <li>
    Getting to the hospital or the police because of an unexpected situation;
  </li>
  <li>
    Exchanged contacts that were accidentally lost;
  </li>
  <li>
    Death.
  </li>
</ul>
<p>In order to exclude unlikely causes and choose a method for <strong>searching for lost connections</strong>, the detective conducts a detailed conversation with the customer. Experience and professional intuition allow <strong>a private detective to find a person</strong> to determine the most effective ways.</p>
<h2 class=""subheader"">What questions are addressed</h2>
<p>Detectives are needed not only for the <strong> search for an unexpectedly missing relative</strong>. You can contact us for the following questions:</p>
<ul>
  <li>
    Restoring ties with distant relatives.
  </li>
  <li>
    Determination of the place of residence and work of a friend, colleague.
  </li>
  <li>
    Establishing the marital status of an acquaintance.
  </li>
</ul>
<p>It happens that we get a call about the <strong>search for a deceased relative</strong> during WWII. Customers want to find out about the place of his burial, find loved ones to communicate with.</p>
<p>The disappearance of a person is always a sensitive topic, because the results can be unpredictable, up to the news of death. We understand that we can <strong> search for an already deceased relative</strong>, so we make every effort to provide professional, operational and psychological assistance.</p>
<h2 class=""subheader"">We will do our best to help you! Consultation of a private detective is free of charge.</h2>",65-why-contact-a-private-detective-agency,63-what-does-a-professional-private-detective-do,
